id_str,screen_name
57049338,DebbieAAldrich
38355221,NancyDenny
7.65192E+17,andrewkurtser
51293202,DangerMcClain
1.00196E+18,jessica63803293
1.00219E+18,ComrSalisu
3229462498,amieemiller5
9.96528E+17,SamTawfik12
105239305,phreddylv
291991607,c_kumud
1.00238E+18,OligarchyCo
9.36282E+17,vet_merica1987
8.36651E+17,wee_the_people
7.61939E+17,crash196911
51626695,Einsteinium2009
1051907624,artchicksmom
7.06224E+17,bswerdon
3312822937,illusionalsgcty
7.14074E+17,TLCampb3
2460393050,PWNJimiPWN
8.04494E+17,KansasChick45
337694084,MetsFanatic86
808124281,camjr242
1180478346,Devildog3389
2149769052,SillsCraig
1594409988,JulianSvendsen
8.0177E+17,Rich5489
1.00228E+18,polisammkg
18020110,rachael77
9.59555E+17,jay22407448
158383757,jeff_huard
981782773,lexfluent
1.00219E+18,Ava50633221
3433084084,BMcNamaraMS
9.56875E+17,ChippewaSAPC
1.00217E+18,elliotthusbands
8.9721E+17,SamuelSomebody
9.89496E+17,EmekaEnemuo
8.2359E+17,TheresaPratt01
9.61042E+17,Sartaew1
9.77719E+17,DonVonCrump1
1350087181,VirtualFinGrp
8.60607E+17,sensimiola2
8.6088E+17,BCFeher
96112553,geelinus
2903192644,bamabeckygirl
3413150745,John_3_11
331001052,howcaniNOT
1.00185E+18,thriving313
7.02421E+17,yoliswadesmond
269088391,LisaWillover
1.00176E+18,WBretzky
7.2001E+17,v4__msu
1.00163E+18,DMR1776
8.74097E+17,_WhoAteMyCookie
2633766625,mgoulet1975
93970387,beyouonlybetter
9.76563E+17,Caregiver151
4214214013,C2BEdetroit
28000182,iluvmrsmelly
9.55588E+17,Jc888J
7.14453E+17,lelandcwilkins
2319357120,charlesmschwab
9.6814E+17,SusanCo37237287
901100497,Koffy69
9.89116E+17,CreeHouston
9.28267E+17,bigheart0_o
9.9763E+17,betz_nan
4731894244,rejejeejsmdm
1057176403,Lambo1fresh
9.33041E+17,AdamForTrump
8.67585E+17,cecilylong8
8.13427E+17,Virtual_Sapiens
9.90661E+17,Atommycat69
9.97861E+17,MichaelMoss1993
32569902,Ester02
75965406,indiepeg
9.76892E+17,franstuade
537007554,chen1082
9.91758E+17,Payasianco
31178153,ljlobsinger
8.21796E+17,DouglasConn1
2407563518,kmac5999
9.80634E+17,Hervokk1
1346758214,MadMaestroKnows
179768592,angielyons910
25423610,WCBelle68
40915332,hongtd2k
9.53035E+17,Cathymarienuge2
8.86005E+17,DCvaults
1.00003E+18,adamisnoah
232410217,BigD_2018
8.74365E+17,flinn_terri
44931211,psk2423
9.78636E+17,ColeCurrent
3426893949,RbAmeerAbdullah
1.00043E+18,SaineyCamara6
4093044688,Bobbitchin22
265441353,IRide4IAM
2263065527,dkhatmaker
2280987522,emendeenj
9.5453E+17,kathrynjolene1
9.97738E+17,pfitz92555121
8.97612E+17,LLpietenpol
9.0874E+17,SilviaStagg4
9.50207E+17,Lonelyarmyvet
50080514,reuterje
405954939,MrJoeyK
9.08665E+17,BennettJrKeithJ
512760708,DannyTaylor810
34457997,morgan_lustig
9.33064E+17,naveenkurra5
7.8437E+17,HuntJennifer_
1582094562,donnkev
427860962,sethbilliau
9.80611E+17,MistyPh91192575
496520319,RowseTerry
9.8708E+17,redwings61
8.88504E+17,CheriAngel4
2386766515,rogerliles
8.79374E+17,BarbaraJoy14
5644772,MillennialCon_
9.99387E+17,lola_emy
115158370,JeanineMSherman
1699216038,em_m_faulkner
9.99719E+17,ndhooghe
9.66828E+17,realalbowman
23259144,kywoman606
290281069,masunderm
9.8986E+17,Gretche03464616
1700890357,DemonseedJared
9.99659E+17,MikeMillerForM1
8.57592E+17,itsmekaelapaige
357850994,maxmounts
9.94367E+17,jer_baz
8.22876E+17,matt_urban1a
8.06253E+17,Bellanrhino
9.82746E+17,Emma68282450
2313695078,Garrett92X
7.15227E+17,Beg1Girl
303830351,MitchDennison
9.98574E+17,TechNetMidwest
9.98932E+17,BaptistBattle
7.95328E+17,Alexandra_JBS
8.79064E+17,Bushc3Bush
9.13212E+17,patriotchick86
8.55928E+17,brooks_buys
1055574482,NickMandary
183665445,ddeecki
7.10991E+17,AutenriethChris
9.62854E+17,Rb52563Timothy
187782838,cathyspartanj
36870714,Tomwillfup
31590554,RossThaBoss
9.99034E+17,Nevaeh52704581
9.9903E+17,VinhLe16319521
1609828368,kieranmundt
3126350117,WGRIII
1064556584,shirleyinmccall
9.75907E+17,LoneStarDon
9.9391E+17,DrDetroit15
9.89697E+17,RachelReneePip1
563816225,mistala1
560078545,IKrazyI
2271084384,Rizzreed
8.03623E+17,Billguerri1
2347958766,VictorEttyang
2199981822,sallymae_1
287293397,JudyBowen1
9.98407E+17,OurDocks
9.9837E+17,JesseNofftz
1679658175,KeetonBartol
44872742,owlish_bookworm
2295343929,bowhunter_va
9.96739E+17,LindaSt56371785
9.80905E+17,DiamondSweetnes
4896505714,SusanHengesbach
1696689092,GiordanoMadison
764920195,Nicben2000
7.39649E+17,RadomskiRon
4261157231,88JWR88
7.461E+17,Scharb01
9.93937E+17,VoteLora
9.98024E+17,cody23217917
7.9453E+17,LobdellCliff
466182466,04cworkman
8.67131E+17,SideBComedy
9.06191E+17,ThePoisonedCity
9.70026E+17,LOVE_AMERICA1ST
9.97818E+17,winters4mihous1
9.6782E+17,EngageEighteen
9.97935E+17,berrygal50514c1
1618233258,OpWoundedWarrio
9.97913E+17,marynsetsuda
36183582,cndobbs
9.74371E+17,duda_dloslaw
2925927288,jmtray77
9.97812E+17,MosesGobie1
1167293964,halfpint602
8.88059E+17,dgrizz124
4269648706,ShannonSimss4
9.97587E+17,revivedmiller
9.39496E+17,SpikeGee13
9.84126E+17,DPatriotWilson
9.95386E+17,stasovech
9.97492E+17,company_adoraa
9.97484E+17,Thatdrunk_bitch
374653469,tgeis3
9.9358E+17,BetsyAndBill
9.968E+17,True_Herald
9.54686E+17,BK2020GR
3205709075,eclectetsy
9.97435E+17,woodyhayesohio
9.01791E+17,MarkCookReal
480967183,wowkelliwow
9.9729E+17,Joshua91186523
9.97286E+17,Leslie11965805
9.9728E+17,7Uni_Gen7
3413416133,gp_for
8.7226E+17,MatthewKozak5
35639879,Awesta
8.99759E+17,elephantmade1
9.97222E+17,james_jones1980
3375741070,isaacabrahama
9.97196E+17,DavidEl13266193
569206374,CMUGoldMedia
601955900,QStride
9.97108E+17,SarahRo23553449
47614232,Tiffany_Norwood
1522149800,stimson_greta
9.97093E+17,txmhcdcmyk
9.96979E+17,YoungYsk0206
347014007,urdavorite
